_id,Skills
652f66faa519e85866e524e7,Structural analysis.
652f66faa519e85866e524e8,Mainly necessary coding languages and web development
652f66faa519e85866e524e9,"Data Analytics , AI , Tensorflow"
652f66faa519e85866e524ea,"English poetry, prose, fiction"
652f66faa519e85866e524eb,Mechanical Design
652f66faa519e85866e524ec,UI
652f66faa519e85866e524ed,"Machine learning,neural networks, enterpreneurship, communication "
652f66faa519e85866e524ee,Sports analysis\nBasic Genomics knowledge
652f66faa519e85866e524ef,"ML,DL, Python, C , C++, Java, Statistics, Vectors"
652f66faa519e85866e524f0,"Verilog Coding, Arduino Coding, 8051 and 8086 Coding"
652f66faa519e85866e524f2,"Arduino IDE, ROS, Fusion 360"
652f66faa519e85866e524f3,Data management for large industry
652f66faa519e85866e524f4,"Java , python,c,c++,html,css"
652f66faa519e85866e524f5,"Internship experience in VAPT, project work in Python, Javascript, and their frameworks, research experience in malware analysis. Open source contributions in international organizations."
652f66faa519e85866e524f6,"Probability, combinatorics, python"
652f66faa519e85866e524f7,ML / Data analysis
652f66faa519e85866e524f8,"IoT, PCB designing, Arduino programming , basic linux"
652f66faa519e85866e524f9,Skilled in both
652f66faa519e85866e524fa,Cloud computing
652f66faa519e85866e524fb,"Verbal, marketing "
652f66faa519e85866e524fc,C++
652f66faa519e85866e524fd,Law
652f66faa519e85866e524fe,"Artificial intelligence, research. And the basics as a computer science student"
652f66faa519e85866e524ff,Front end dev\nbasic ui ux design\nbasic back end knowledge 
652f66faa519e85866e52500,Accountancy\nFM\nSM
652f66faa519e85866e52501,Android Developer
652f66faa519e85866e52502,"Design, problem solving, extensive research "
652f66faa519e85866e52503,"Accounting, finance, commerce and basic computer applications."
652f66faa519e85866e52504,"fullstack development, PLC programming, arduino"
652f66faa519e85866e52505,"Web Dev: HTML, CSS, JS, React.JS, Typescript, Tailwind, tRPC, MongoDB, DynamoDB, SQL\nAIML: ML, DL, CNN, RNN, LSTM\nProgramming: Java, C++, Python"
652f66faa519e85866e52506,Data Analysis
652f66faa519e85866e52507,"NLP, Risk Analysis, LLMs "
652f66faa519e85866e52508,Machine Learning
652f66faa519e85866e52509,"C, C++, Python, Java, HTML, CSS, SQL, AWS, Figma , FlutterFlow, Canva, Adobe XD."
652f66faa519e85866e5250a,"Cyber security,  coding - python "
652f66faa519e85866e5250b,"Cyber security,  coding - python"
652f66faa519e85866e5250c,"Programming, Web development, App development, Data science, Testing "
652f66faa519e85866e5250d,"Legal knowledge encompasses a vast array of topics and areas of specialization. During my internship I got the opportunity to work on cases related to Constitutional Law,Criminal Law,Civil Law,Family Law,Corporate Law. Also I have a wide range of skills including Research Skills,Communication Skills,Critical Thinking,Negotiation Skills,Attention to Detail."
652f66faa519e85866e5250e,I dont possess any technical knowledge but i am too enticed by these topics that i read what i come across
652f66faa519e85866e5250f,"An awareness and basic knowledge of social issues such as poverty, homelessness, and addiction as well as in-depth study and knowledge of human behaviour and group behaviour. \n\nSkill sets: Empathy and listening skills and basic data collection and analysis/interpretation skills. "
652f66faa519e85866e52510,i am a ty ba economics student
652f66faa519e85866e52511,No idea what but know like the basics of everything
652f66faa519e85866e52512,"Drug development, bioinformatics with R programming, molecular biology research methodologies, cell culture, upstream and downstream process technologies"
652f66faa519e85866e52513,"Python, SQL, Tableau, Data Analytics "
652f66faa519e85866e52514,Digital design\nFormal verification
652f66faa519e85866e52515,"Tanner Tools, Vivado, MATLAB, python,etc"
652f66faa519e85866e52516,Nada
652f66faa519e85866e52517,"Business Domains - Education, Utilities (water, electricity), Retail, Car Manufacturing.. \nTechnical Domains - Systems Design, AWS/Azure, Web/Mobile Development, Backend Development (API/Microservices/Databases), AI, Quantum Computing\nProgramming Skillset - C#, Python, react js, no code tools like bubble.io, MySQL/postgres/Mongo DB"
652f66faa519e85866e52518,"python, machine learning\n"
652f66faa519e85866e52519,Web development\nBioinformatics tools\nMarketing strategies\nGame design
652f66faa519e85866e5251a,"MERN Stack, Spring boot, Java"
652f66faa519e85866e5251b,I am smart ðŸ˜Ž
652f66faa519e85866e5251c,RPA
652f66faa519e85866e5251d,"Python programming , data analysis "
652f7c3a81928f436b3ac13a,"AI,ML,DL"
652f7ebb81928f436b3ac13b,expert in that
652f852281928f436b3ac13c,ai ml
652fc23681928f436b3ac13e,"flutter, swift, firebase "
652fc3c081928f436b3ac13f,"flutter, swift, kotlin"
6576c887ed2b6ed168e5f732,nlp
657740b9d7641e384d6666aa,Nothing
65774140d7641e384d6666ab,escape
657741656c95b6da0a839f67,"ml, dl, app dev"
6577461f6c95b6da0a839f68,"ml, dl, app dev"
6577492dc5995d5346fbcddc,"AI,ML,DL"
657c78f6164398c08e411373,"data science, AI, ML"
657c7937164398c08e411374,"Flask, data science"
657e8155164398c08e411376,"AI ML, DATA SCIENCE"
6580844c16446495f50fff65,flask
659620c37774c1855c56e413,"HTML,CSS,JS, ML"
659620fe7774c1855c56e414,"HTML,ReactJS, DL"
65a9fbdcd1e910ff20ce8002,"dsa,frontend,communication"
65a9fc3cd1e910ff20ce8003,"dsa,frontend"
65a9fd3ed1e910ff20ce8004,"dsa,frontend"
6665b5055a7b4fcac54c4434,"python, NLTK, Spacy"
6665b5475a7b4fcac54c4435,"spacy, nltk, python"
6665b5975a7b4fcac54c4436,"Spacy, python"
